Instance,Algorithm,Run,Best,Worst,Avg,Std,pop_size,gen,Px,Pm,tournament,Elitism,cooling,innerLoop
a-n60-k9.vrp,ga,1,1512.0256,2525.0493,1836.5668,207.4624,200,96,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1503.3995,2413.5425,1819.4530,191.5042,200,97,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1503.3995,2551.5808,1810.4274,224.7612,200,98,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1503.3995,2355.3601,1802.9210,198.8530,200,99,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1503.3995,2355.5571,1805.9264,198.7191,200,100,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1503.3995,2189.7930,1815.4946,196.5458,200,101,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1503.3995,2338.6487,1814.4763,204.5026,200,102,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1503.3995,2304.9016,1861.9357,221.6908,200,103,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1503.3995,2338.7856,1846.3650,221.2781,200,104,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1503.3995,2344.1284,1856.8617,204.6282,200,105,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1503.3995,2530.1843,1864.7632,220.4883,200,106,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1503.3995,2438.5962,1871.4838,242.0142,200,107,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1503.3995,2467.3967,1875.5326,244.8707,200,108,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1503.3995,2572.6108,1855.6384,239.6814,200,109,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1503.3995,2466.5195,1885.9893,249.1866,200,110,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1503.3995,2425.4780,1889.8209,236.8144,200,111,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1503.3995,2496.9409,1912.9916,238.6185,200,112,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1503.3995,2447.6067,1897.6791,245.3117,200,113,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1503.3995,2557.7986,1879.9923,236.7581,200,114,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1503.3995,2688.3608,1865.5331,256.2473,200,115,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1503.3995,2555.9949,1886.8427,240.6578,200,116,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1503.3995,2636.3892,1931.7003,256.8077,200,117,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1503.3995,2568.2014,1917.5663,244.0128,200,118,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1503.3995,2529.1196,1927.7815,233.7562,200,119,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1503.3995,2533.9758,1944.9620,240.9365,200,120,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1503.3995,2619.4209,1927.8409,254.1903,200,121,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1503.3995,2532.2217,1922.2086,260.3930,200,122,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1500.9537,2529.3804,1886.3850,252.9746,200,123,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1500.9537,2571.3806,1853.1041,248.2668,200,124,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1500.9537,2543.2122,1846.1238,252.5214,200,125,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1500.9537,2433.1050,1807.6085,213.2381,200,126,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1500.9537,2357.0183,1876.5555,222.7921,200,127,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1500.9537,2341.1628,1889.8258,218.3900,200,128,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1500.9537,2350.4946,1833.8029,199.1133,200,129,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1500.9537,2504.1858,1871.3973,206.0190,200,130,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1500.9537,2527.5203,1871.7416,211.9624,200,131,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1500.9537,2381.6941,1849.7523,218.5680,200,132,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1500.9537,2328.8989,1827.6210,221.2826,200,133,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1500.9537,2305.7114,1821.1907,203.6075,200,134,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1500.9537,2277.7952,1837.7592,200.3544,200,135,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1500.9537,2352.4207,1850.7185,222.0261,200,136,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1500.9537,2495.5540,1862.8064,227.7250,200,137,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1500.9537,2315.6282,1834.0428,217.2236,200,138,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1500.9537,2248.1289,1803.0765,210.3476,200,139,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1500.9537,2315.3877,1821.8175,212.9197,200,140,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1500.9537,2264.3171,1815.7666,202.9767,200,141,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1500.9537,2297.1975,1828.6030,214.8317,200,142,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1500.9537,2383.0239,1838.6425,214.9662,200,143,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1500.9537,2524.2793,1825.7144,220.2618,200,144,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1500.9537,2298.5615,1805.4117,204.6714,200,145,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1500.9537,2265.2373,1818.0087,199.8023,200,146,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1500.9537,2318.4236,1846.5665,206.5506,200,147,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1500.9537,2410.4775,1825.0984,218.0315,200,148,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1500.9537,2332.1567,1834.4659,220.1697,200,149,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1500.9537,2391.5032,1858.2751,219.8150,200,150,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1500.9537,2334.7104,1853.0111,229.7200,200,151,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1500.9537,2371.5447,1857.3367,230.1706,200,152,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1500.9537,2445.8633,1828.6805,241.8632,200,153,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1500.9537,2570.0737,1858.0243,228.2471,200,154,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1500.9537,2447.5813,1877.7028,227.6062,200,155,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1500.9537,2493.1553,1865.0774,228.7828,200,156,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1500.9537,2376.5623,1854.7288,233.0392,200,157,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1500.9537,2409.7173,1857.4468,236.3403,200,158,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1500.9537,2373.4646,1861.9841,230.7102,200,159,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1500.9537,2449.7854,1852.4489,233.9779,200,160,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1500.9537,2480.6990,1864.3513,252.3227,200,161,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1500.9537,2495.1223,1890.9935,252.1559,200,162,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1500.9537,2551.5481,1879.8892,254.8627,200,163,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1500.9537,2471.6235,1834.6086,254.0488,200,164,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1500.9537,2515.1941,1859.1119,227.3922,200,165,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1500.9537,2496.1587,1843.7845,240.3978,200,166,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1500.9536,2603.5142,1828.6016,230.2164,200,167,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1500.9536,2383.5120,1815.7633,238.4246,200,168,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1500.9536,2546.0994,1767.6189,230.9700,200,169,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1499.3733,2302.4519,1722.3789,210.2518,200,170,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1499.3733,2275.9485,1783.6456,225.5066,200,171,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1499.3733,2283.3821,1795.4385,222.5986,200,172,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1499.3733,2188.5210,1800.4172,206.7072,200,173,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1499.3733,2303.7725,1815.1454,237.7146,200,174,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1499.3733,2199.6426,1829.0258,218.1169,200,175,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1499.3733,2396.5542,1825.8589,226.0090,200,176,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1499.3733,2332.1648,1802.4589,232.8706,200,177,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1499.3733,2229.2988,1791.5360,217.3315,200,178,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1499.3733,2245.4246,1805.9135,222.7413,200,179,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1499.3733,2291.9785,1821.2220,227.9189,200,180,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1499.3733,2481.0920,1802.6368,238.3658,200,181,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1499.3733,2280.1865,1803.5220,230.7281,200,182,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1499.3733,2391.9053,1798.0343,245.4297,200,183,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1499.3733,2282.1729,1750.9911,237.7083,200,184,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1499.3733,2417.8032,1725.3542,244.9144,200,185,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1499.3733,2316.4729,1789.4537,232.3235,200,186,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1499.3733,2289.9856,1786.2502,237.0471,200,187,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1499.3733,2473.3530,1776.7969,238.6574,200,188,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1499.3733,2297.4441,1790.7838,233.0790,200,189,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1499.3733,2272.0576,1796.9904,227.1306,200,190,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1499.3733,2320.2822,1781.1556,247.3853,200,191,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1499.3733,2350.3870,1742.3450,229.6163,200,192,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1499.3733,2434.2395,1769.5493,227.6908,200,193,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1499.3733,2389.5198,1756.9333,236.2417,200,194,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1499.3733,2294.5386,1749.8267,225.0499,200,195,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1499.3733,2353.1462,1775.7036,243.2303,200,196,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1499.3733,2492.0610,1778.1249,237.7112,200,197,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1499.3733,2344.8652,1762.5405,230.6469,200,198,0.9000,0.0500,10,10,0.0000,0
a-n60-k9.vrp,ga,1,1499.3733,2341.7871,1754.4806,231.8468,200,199,0.9000,0.0500,10,10,0.0000,0
