Instance,Algorithm,Run,Best,Worst,Avg,Std,pop_size,gen,Px,Pm,tournament,Elitism,cooling,innerLoop
a-n32-k5.vrp,ga,1,914.4465,1506.5355,1149.3949,159.4013,200,8,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,957.4658,2213.3726,1577.4618,292.2856,200,2,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,870.9259,1542.5780,1115.6616,149.4415,200,9,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,973.0835,1540.1232,1149.2030,111.0235,200,7,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,923.3998,1530.7062,1104.3064,128.2908,200,8,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,914.4465,1593.1812,1118.5928,156.9770,200,9,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,870.9259,1458.5863,1111.8906,152.7920,200,10,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,978.9517,1617.7054,1230.9315,164.5531,200,12,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,973.0835,1674.6071,1176.2227,137.2576,200,8,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,923.3998,1417.4753,1096.1489,128.0873,200,9,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,914.4465,1585.8048,1136.5691,154.5034,200,10,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,891.9400,1503.7852,1105.3348,136.1787,200,12,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,978.9517,1675.0471,1255.2291,170.8834,200,13,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,973.0835,1761.3207,1188.3618,149.7457,200,9,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,947.3164,1600.2809,1179.3512,141.6375,200,3,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,978.9517,1663.8632,1286.0616,176.3488,200,14,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,866.4988,1444.5737,1096.6218,142.8651,200,11,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,878.4925,1769.2549,1150.9778,172.5332,200,9,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,898.4160,1400.0449,1087.7732,109.2414,200,4,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,978.9517,1721.7194,1274.0323,170.9685,200,15,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,923.3998,1522.6654,1105.1929,124.1145,200,10,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,885.5825,1482.7292,1095.2853,133.1954,200,5,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,878.4925,1541.7677,1174.9355,165.2213,200,10,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,866.4988,1458.1998,1113.1711,153.2366,200,12,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,885.5825,1520.8772,1134.4888,153.7255,200,6,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,993.4152,1528.0450,1180.0554,118.9599,200,4,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,891.9400,1413.7593,1118.0657,128.0209,200,13,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,878.4925,1698.1249,1125.9634,161.6242,200,11,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,973.0835,1857.9609,1190.3373,152.0320,200,10,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,973.5929,1710.2681,1279.4614,182.8004,200,16,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,909.7003,1467.9874,1078.8091,122.1105,200,11,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,866.1841,1551.9017,1117.3076,165.4883,200,7,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,974.2025,1460.1509,1150.8010,105.8680,200,5,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,891.9400,1470.5999,1128.3752,134.8830,200,14,0.9000,0.0500,10,10,0.0000,0
